"","C1","C2","C3","C4","C5","C6","C7","C8","C9"
"Tfeb",0.367135366163555,0.355117851586165,0.0264109947110683,0.055646048677343,0.211253863745989,0.0438275100011288,-0.095644845036918,0.0240387168983119,-0.0873382333108468
"C030005K06Rik",0.404427877470851,0.670563902695903,0.105296405041917,0.296408554936673,-0.180260426942881,-0.0372291093541915,-0.0706171280390031,-0.0489781794470947,0.260295017556651
"Grb2",0.456406237647144,0.288906191584636,0.0655921216272116,-0.190032659864705,0.016247002409351,-0.0154931704423587,-0.161036659245381,-0.049591147244335,-0.0881671971350739
"Lrr1",0.874383740519217,1.12334327999865,0.134242427195175,0.366710827407678,0.0408539308160904,-0.181904340927049,-0.152704811818722,-0.0243539771834027,0.0894690743033976
"Sema4d",0.507763538764011,0.380315935603679,0.177114316855227,0.170609351972533,-0.268561654170982,-0.00504363578068273,0.0986520053544343,-0.0743479005294136,0.0710946123956231
"Prkcd",0.467378746245124,0.31551099844881,0.123331226795184,-0.0123723940410003,0.165985613856452,-0.0333748165823391,-0.108586624619416,-0.104268862899835,-0.0697679818009496
"A330035P11Rik",0.471817508949515,0.423325964589216,0.028515738264003,0.00486558598481382,-0.0913962740229605,0.183058460092428,-0.0368410352159203,-0.0221360846320464,-0.0448589499043423
"Gart",0.452523171263655,0.433950689650157,0.0148465935016086,-0.0573366173683036,0.0335216103829146,-0.107469947224647,-3.31510169330853e-05,-0.126036748315339,0.0272639333297749
"Lars",0.534751091832736,0.711293966947176,0.136318332781156,0.167024962503579,0.018168028548218,-0.402425548010224,-0.15009171156271,0.07149640220823,0.075975328662641
"Tnfaip8",0.682666262272512,0.361921752501188,0.0726254475816421,0.157074405985034,-0.0907215789948429,0.142865805847774,-0.214505135619258,-0.0285177594955036,0.181215486541251
"Ehd1",0.270213458700339,0.27647125262314,0.017178449418237,-0.0568002313535607,-0.128506008864918,-0.0698065881950735,0.0480602295966579,0.0379658831673611,0.147058768614246
"Ppp1r16b",0.839176969208248,0.337827742539323,0.131851572182075,0.0912709548718686,-0.204555786111412,0.0182615678619924,-0.190152816920106,-0.0369266704365016,0.218222746486375
"Ube2v1",0.32139880806116,0.279039653604228,0.0200985538733047,0.0238868577480524,0.0904545504441417,0.122993574383737,0.0252245691719566,-0.108848289322966,-0.0764539404014047
"Mef2d",0.369313222996818,0.305956394341784,0.00710362279105505,-0.121439012952581,0.0454664281894973,-0.00308285820983714,0.0536775316230091,-0.0995190448869851,-0.00908051539944916
"B4galt1",0.573591540059388,0.308122377661193,0.0733736565385962,0.0844130670994597,-0.179081452269369,-0.0075694790477492,-0.0560846322162663,0.0296951205497445,-0.0331142884170241
"Gtf2i",0.303609533349039,0.252826044846948,0.0161671711190392,-0.0164061516900072,-0.046472870834927,-0.15023096466398,0.00350660121591639,0.0119025043743354,0.06320891084196
"Aup1",0.799353266485242,0.641522660516118,0.167349717246758,0.289812350265112,-0.105825120661087,0.0927037067012004,0.0467389178175531,0.0930394649156794,0.0444851820048619
"Htra2",0.697359956170841,0.632560291261105,0.239464945620468,0.289115248649154,-0.163225418393476,0.082959631477811,0.0215177687997901,0.120436560932719,0.0401546425961491
"Dqx1",0.669803454524278,0.622160479059888,0.217130156098519,0.266988953723532,-0.118994191969963,0.0997353147749191,0.0714624067131274,0.11831720489184,0.0156875537833512
"Ino80b",0.663441354472601,0.602598932723696,0.0257367613939918,0.131384804796541,0.140354541573838,0.00213185749142774,-0.166860266800362,0.0557493275441473,0.0784958312837689
"Emg1",0.444437411824078,0.552302549986656,0.141564740599181,0.145040807121901,0.00196662075797267,-0.0833629991305474,-0.317440224904134,-0.0192322856189422,-0.262589996515567
"Sertad3",0.424071863973117,0.405519157277779,0.145748714447995,0.140660083231853,-0.0387096593026622,-0.00237953974409847,0.0496499319388396,-0.0122948120344846,0.0373811142942333
"Nr1h2",0.42292899743193,0.469676439243466,0.090460060909868,0.0573964724048171,0.0274288900466412,0.00362425779592029,0.0817491294119805,-0.0705806488621334,-0.107037059165946
"Klf13",0.295317908829909,0.248029766224992,0.058526697393534,0.014744054222181,0.0247729003187782,0.0230998251644157,-0.0596702076872524,-0.117593220671041,-0.0357217080322687
"E030018B13Rik",0.508363084319055,0.278599538656339,0.0617145154508849,0.0116306941363286,0.0741644087401396,0.0284172940398653,-0.0885510543597007,-0.0916631503850199,-0.0113043578099957
"Ankrd44",0.308956421515981,-0.0179135805891939,-0.0423100290326899,-0.0307105339781361,0.225997010202709,-0.0660301085069679,-0.0438227867546888,-0.0503262649504312,-0.080944602522253
"4930523C07Rik",0.921188978780151,-0.0347428974303301,0.0289877282329587,-0.0400613581807024,0.392867688782419,0.00787144817238089,-0.048804301515053,0.060159634980755,-0.44377163343984
"Cyfip2",0.269919308975846,0.191558341928489,0.0713804356065727,-0.095663532003439,0.238049186475349,-0.253939594015979,0.0305438487289342,-0.0665524154041063,-0.0262969895562605
"Nsmce2",0.458814239471854,0.0647423583279726,0.0433143194540072,0.0236944864820158,0.205632054138817,-0.00559280129973313,-0.0540644919767047,0.00116611997555885,-0.0934609204049077
"Dnah8",0.451149159996786,-0.291551102073145,0.0839378308674214,0.0193220095583284,0.302165104770493,0.0668390373688751,-0.102484617417921,0.00521447124373741,-0.131699545455004
"Impa2",0.499069066226796,-0.0440035232801048,-0.00261929550968851,-0.0804677901735584,0.337625110707057,0.0490243725383464,-0.024658999818496,-0.11418565665621,-0.165993236459874
"Scd3",0.663744284074495,0.157552719650062,-0.116710476789272,-0.0897747710734804,0.379478203189268,-0.0731805557192424,0.0671077458833345,0.0336475961309511,-0.0101308559408004
"Spi1",0.444441966931073,0.176878530723445,0.0485006272473135,0.0918634822784869,0.34934931096382,0.0921523238328568,-0.128082747454003,-0.0751172894981427,-0.222733128956285
"Hipk1",0.563678754699989,0.090072265644731,-0.0597139135952095,-0.0651356526226987,0.339928065290361,0.0934511741680051,-0.00680625458586477,0.0452520395003787,-0.0149972486858069
"Susd1",0.482005117089295,0.0693237855317713,-0.0287720878483837,0.0438776482427319,0.302305022484927,-0.0308924026223877,-0.191454638466665,-0.0853611365016755,-0.0500973364635652
"Ppfia3",0.399888756416199,0.126565776484529,-0.00227974105534907,0.0386650626756291,0.315097858209519,0.0495263550121016,-0.0490945663317269,-0.00492093333836316,-0.203335781066062
