"","Lupus","WT"
"Cnot11",0.362954519929373,-0.0461031789543812
"Il1rl1",0.467491751503287,-0.166495386745061
"Stat4",0.298352204714942,-0.261119859539672
"Stat1",0.515790672610911,-0.434604426373927
"Gls",0.231441557730252,-0.170727107289782
"Mfsd6",0.373572547037507,-0.208367375229381
"Sgo2a",0.568283095226604,0.0436293290136777
"Ica1l",0.455840758263325,-0.199875349984566
"Icos",0.389865701969372,-0.31215673562187
"Wnt10a",0.314687918704433,-0.126967723301616
"Ube2f",0.309277665594301,-0.159768000573394
"Traf3ip1",0.272213725940664,0.00127255253135647
"Atg4b",0.321804517458342,0.0673540005216611
"Pdcd1",0.547085720463184,-0.418934637938757
"Gli2",0.221456699029756,-0.0485326686095903
"Mir6346",0.323747155979376,-0.218173142539191
"Cxcr4",0.487279882316606,-0.523918485709791
"Il10",0.609105577321446,-0.444471789554778
"Mapkapk2",0.280189530791319,-0.242840921096962
"Etnk2",0.309033634477672,-0.258431418053196
"Ptprv",0.352396334850929,-0.543386237219405
"Ptpn7",0.437374955942556,-0.550114251717784
"Ptprc",0.330102169470132,-0.331529126160608
"Atp6v1g3",0.302548180172703,-0.299083544293473
"Tor1aip1",0.328430219484779,-0.0462642707724062
"Fasl",0.534216852247187,-0.289325177917067
"Dnm3os",0.268960146837912,-0.169481584020044
"Pou2f1",0.28014135921067,-0.166017321386852
"Dusp27",0.436922308953935,-0.184781916078323
"Uap1",0.287231870538941,-0.0813812257954542
"Fcgr4",0.5203196059809,-0.407943829833169
"Arhgap30",0.52540208944852,-0.485089022046997
"Itln1",2,-1.95950102349639
"Cd244a",2,-1.86195160743205
"Slamf7",0.702877787033084,-0.826859117296723
"Mir7683",0.764334796718971,-1.04902134394273
"Cd48",0.513527291207025,-0.651780036714171
"Slamf6",0.616342823943245,-0.489199688950237
"Atp1a4",0.3983145629928,0.0982608911786751
"Srp9",0.265876280358576,-0.124839860883803
"Dusp10",0.324567285275117,-0.421632789521886
"1700056E22Rik",0.380373606782224,-0.488391384040771
"Nek2",0.291325392157255,-0.315808108866255
"1700034H15Rik",0.42453064638265,-0.26666660242126
"Stx11",0.430839767792137,-0.399118022586349
"Tnfaip3",0.467854280047726,-0.234009839145308
"Calhm6",0.78304013455693,-0.418356012689536
"Fyn",0.236754736946913,-0.177899836831141
"Crybg1",0.289691756602331,-0.118610427706006
"Atg5",0.315777238761386,0.0139597546995572
"Man1a",0.333029573745724,-0.259655942922534
"Ddit4",0.219326263433471,-0.156333944386359
"Anapc16",0.288833155942103,-0.108730640864756
"Cdh23",0.201194705122033,-0.133354869255317
"Vsir",0.486293000083371,-0.478121200593649
"Gm17455",0.309072221104697,-0.195121606996448
"Slc29a3",0.280679366388639,-0.0964395283489575
"Hk1",0.217771974429388,-0.141190286253208
"Ube2d1",0.392068300552519,-0.217615313362947
"Itgb2",0.463268953807745,-0.347823293176273
"Sbno2",0.268134529309534,-0.176481101675523
"Mknk2",0.24501442889292,-0.146799984860599
"Chst11",0.202184221640326,-0.123505232609096
"Slc41a2",0.274333654212366,-0.37392199490122
"Gm20757",0.292946337482346,-0.102118101077548
"Plxnc1",0.263760839324096,-0.32166305319804
"4930459C07Rik",0.311264300629668,-0.365909145327682
"Pawr",0.26420490029919,-0.0362749309763709
"Gns",0.315339957558872,-0.183727476987055
"Stat2",0.389193867411254,-0.21840318918067
"Pik3ip1",0.465597094889116,-0.334864900794029
"Osm",0.529730380531348,-0.670879343554645
"Ikzf1",0.412969930681274,-0.47393307647828
"Lcp2",0.500659381150171,-0.297039298605062
"Dock2",0.312112462197806,-0.260133650224246
"Fam196b",0.370048750688003,-0.188582182568354
"Itk",0.334572273647617,-0.32435160507945
"Timd2",0.50247143979213,-0.685491727097355
"Havcr1",0.654675532394266,-0.633032964324666
"Ifi47",0.310869914038531,-0.264649711333377
"Tgtp2",0.557665314152867,-0.384553329240322
"Irf1",0.444667425219001,-0.457296559419448
"Tnip1",0.331222283284724,-0.242846929643495
"Igtp",0.686890609272396,-1.24772253359036
"Irgm2",0.41175805127829,-0.738299348234135
"Trpv2",0.371335992634385,-0.0439941117538877
"Stx8",0.200585579997082,-0.182612217208097
"Pik3r5",0.27871363304111,-0.428843609938273
"Per1",0.573842630493647,-0.385420024996671
"Hes7",0.418356521541713,-0.205470234297425
"Cd68",0.367792163507797,-0.0426316670329515
"Dvl2",0.242920912983035,-0.0835345413728708
"Rnf167",0.497462140168349,-0.143400291146596
"Slc25a11",0.482185983892297,-0.139587402683806
"Ccl2",0.573606687179935,-0.469972447408334
"Ccl11",0.76316952657076,-0.191538314634154
"Ccl12",0.921534725883027,-0.139820093074334
"Ccl5",0.552062885027126,-0.640307698996524
"Vmp1",0.475975731181574,-0.528021370561321
"Mir21a",0.582763411656631,-0.662756652387636
"Mir142",0.749145322858061,-1.04983717371638
"Kpnb1",0.245774343621265,-0.275189846373545
"Ikzf3",0.333400702296378,-0.253735403532819
"Zpbp2",0.414687920714532,-0.423125337370196
"Stat5b",0.273421684556867,-0.134121078800877
"Taco1",0.367748743458847,-0.480500086624075
"D11Wsu47e",0.297770490662113,-0.083183693508337
"Cdc42ep4",0.3211980501206,-0.173553382529607
"Cd300c",0.744900290709964,-0.622924764224202
"Cd300c2",0.86349500549464,-0.867148625455215
"Cd300ld4",0.93059680839872,-0.651013979794486
"Cd300lf",0.600561086584154,-0.280174329999628
"Prcd",0.372559262435651,-0.03913822480819
"1810032O08Rik",0.389479429467072,-0.211081403315397
"Socs3",0.221047149048411,-0.211330499394679
"Itsn2",0.278231031786958,-0.154464615460839
"Pfn4",0.852034954856777,-0.711128825809834
"Sf3b6",0.445766353358777,-0.467156550819008
"Fam49a",0.260751683629803,-0.130370157143335
"Lpin1",0.208941822116866,0.0875629991914552
"Rock2",0.275928808648768,-0.203586257792133
"Pqlc3",0.555510838875822,-0.735535526082035
"2410004P03Rik",0.415689632279188,-0.664866898655671
"Nol10",0.338376145575746,-0.0944693484972641
"Mir3066",0.322796943610398,-0.0517599690742341
"Trappc12",0.328148794287779,-0.251723927094206
"Sntg2",0.344467441872525,-0.163415834379265
"Pik3cg",0.44026744487254,-0.278136252962684
"Psma6",0.407967544438967,-0.33440536300774
"Nfkbia",0.361806304950826,-0.473000694899607
"Mdga2",0.381611177683727,-0.298959846681767
"Vcpkmt",0.255429118438145,-0.126814553664818
"L3hypdh",0.325250025086768,-0.0259271071785484
"Map3k9",0.265916412834677,-0.16209567114365
"Ltbp2",0.263445138969603,-0.292702995913787
"Fos",0.229815558939548,-0.188254677244153
"Batf",0.35456425228519,-0.308730705491381
"Alkbh1",0.395582001076224,-0.161380109368009
"Gm5662",0.867624159963754,-0.648021896221516
"Kcnk10",0.29763952648439,-0.245875786135423
"Dglucy",0.292605774928368,0.146889118121905
"Serpina3a",1.04693609179186,-0.325857312127667
"Serpina3b",0.910811088999047,-0.359524951161681
"Serpina3f",0.7283012655009,-0.91706237664636
"Serpina3h",0.746206868301017,-0.763851595444134
"Serpina3i",0.691190704303155,-0.908228019361119
"4930465M20Rik",0.312364605366248,-0.0142522648552759
"Wdr25",0.227702633257644,-0.203264060784913
"Adssl1",0.44313954476941,-0.411892965841135
"Gpr132",0.316482138473571,-0.210389086714011
"1700016G22Rik",0.351943737753291,-0.245148413048858
"Gtpbp4",0.439741273372573,-0.446576741709481
"Larp4b",0.359943752684119,-0.183502165970032
"Mplkip",0.342428831841026,-0.245936628454915
"4931429P17Rik",0.431431221339027,0.0451588999791003
"Susd3",0.422743393095377,-0.0837701393296705
"Gadd45g",0.222916851711473,-0.115073717289992
"Syk",0.398793391435653,-0.335183321558651
"BB123696",0.436028237135606,-0.463232976935262
"Tifab",0.540242039834696,-0.352561241354439
"Irx1",0.358970990113436,-0.189527472671442
"Slc6a18",0.401227491622089,-0.181751367719007
"Naip1",0.582888406653945,-0.506334686304557
"Ccl28",0.495494688456748,-0.404694503066738
"Hmgcs1",0.326697442794121,-0.209465326425886
"Zfp131",0.361074982065861,-0.167833323048515
"AF067061",1.14962874185093,-1.09780689943127
"Il3ra",0.640060696780784,-0.752107974353175
"Gng2",0.384107110841863,-0.159464801072037
"Tmem110",0.327202048374771,-0.264199753040365
"Tspan14",0.269901470948918,-0.262219194467062
"Ptger2",0.561272584226057,-0.150202368206548
"Mapk1ip1l",0.373548811486301,-0.0805016406389589
"Lgals3",0.375799682591813,-0.00466323589835742
"4930447J18Rik",0.257163974661331,-0.355934724077371
"Tep1",0.346441185075339,-0.298781706990065
"Thtpa",0.273812367876343,-0.0863942698718106
"Rnf31",0.369841107423364,-0.386600733176071
"Psme2",0.324507799128696,-0.405980145110533
"Irf9",0.404377165498554,-0.28445246579295
"Extl3",0.231224244426596,-0.154369428099798
"4930438E09Rik",0.431194268491487,-0.28108405829989
"Slc39a14",0.439364359633125,-0.409861517764745
"Rubcnl",0.528465495528744,-0.636600259636969
"Gpr18",0.355902058936024,-0.117763853376657
"Ptger4",0.397919412062121,-0.414334929593206
"Fyb",0.450338804753626,-0.47891589781362
"Il7r",0.614161029175398,-0.385713319110821
"Otulinl",0.500041323954996,-0.283262485522911
"Gm19510",0.278957837243055,-0.336538626862418
"Fam49b",0.272763036863562,-0.317828909921175
"Tg",0.320449351786694,-0.353337174479971
"Sla",0.555660637605408,-0.590291837714523
"Zfat",0.291360094105781,-0.150950640013946
"Adgrb1",0.340366394688132,-0.238140875847921
"Ly6e",0.35039530766532,-0.427925455245136
"Ncf4",0.537594586359474,-0.584491993085341
"Rac2",0.498563765110361,-0.367602470416553
"Cyth4",0.285311044831809,-0.329564287349769
"Pla2g6",0.242021163293771,-0.0723706700988187
"Grap2",0.514294204618695,-0.21817272717035
"Polr3h",0.588775527067128,-0.480168393078449
"Pim3",0.228646277253161,-0.24978674195389
"Adamts20",0.331807563161222,-0.132336383894672
"Slc38a1",0.327209215288403,-0.118180905187198
"Slc38a2",0.248178376392215,-0.274307356505979
"Pced1b",0.329727666728775,-0.333212875177313
"Tvp23a",0.42148344669496,-0.32560234607839
"Ciita",0.448127544328956,-0.330010361203809
