"","D01116_test","D01117_test","D01118_test","D01119_test","D01120_test"
"Vsir",-0.495601799352418,0.292654222396196,0.339549348428054,-0.491109682824031,0.332058408031267
"Hdhd3",-1.34880688362789,0.417422483259844,0.610343431235983,-1.32489247404897,1.01119722115674
"AI987944",-0.773083187679568,0.355097374115648,0.514033623696356,-0.684092585969779,0.465107387462511
"Mgat4a",-0.293849441480291,0.26126668741025,-0.303359348685111,0.15517588417927,0.38366703001964
"4930594C11Rik",-0.328687443431863,0.321064061350662,-0.279683717207251,0.143454361082721,0.321237041172663
"Pantr1",0.150967606517584,0.255093579829355,-0.627719001818003,0.157315928320655,0.327024941261564
"Adora1",-0.0594879807799626,0.266387171292668,-0.0787217959413685,-0.00709185473015632,0.258175021967531
"Dnm3os",-0.0215469086644082,0.350576170267145,-0.329039843568617,-0.136662780171754,0.254003745453735
"Fcer1g",-0.538136005662241,0.451839115570956,-0.215138057849784,0.0187205171555923,0.644062131275853
"Hk1",-0.162890791906274,0.278447885151809,-0.146083384110668,-0.129163755799653,0.27877021571409
"Crlf3",-0.263267466993011,0.299970177807966,-0.258833709875484,0.0770759277598217,0.263008347939896
"Prr11",-0.329390696862073,0.34349458901777,-0.809001941710424,0.268269301786074,0.428677800728738
"Mir301",-0.409323778164813,0.351985597265929,-0.98770391944061,0.23228406594173,0.58467639025516
"Abcc3",0.00198127426337828,0.306592423451659,-0.222619321173258,-0.231572992160634,0.270251561357786
"Rab37",-0.412522582924839,0.257952780617849,0.0410959250876537,-0.0871475856203377,0.22026516554591
"Fntb",-0.224891585220663,0.279654455172892,-0.0554052222230456,-0.104498194450572,0.275437813578866
"9230116L04Rik",0.233056696561448,0.354482723892355,-0.684728100244703,-0.320679750563094,0.488203668243629
"Arg2",0.0734516575912711,0.48370500723535,0.00214884415993862,-0.417066007915022,0.344555788954615
"4930447J18Rik",-0.180164170662997,0.352426186455548,-0.420359753479284,0.0144370051896987,0.462683793096937
