"","x"
"1","Mir7683"
"2","Ms4a6c"
"3","Gm8369"
"4","Ifna2"
"5","Slamf7"
"6","Zfp300"
"7","Lrr1"
"8","Tubb2a"
"9","Gm4952"
"10","Mir7034"
"11","Mettl7a3"
"12","Gpr150"
"13","Il17f"
"14","Polr2c"
"15","Keg1"
"16","4933425L06Rik"
"17","AW822252"
"18","Pou3f2"
"19","Icam4"
"20","Cyp4b1"
"21","Prl3d2"
"22","Slco4a1"
"23","Cd24a"
"24","Igll1"
"25","Smbd1"
"26","Mir142"
"27","Gadd45b"
"28","Nrm"
"29","Gm5416"
"30","Vmn1r19"
"31","Cldn22"
"32","Olfr1287"
"33","Serpina1f"
"34","Mir3068"
"35","Mir6906"
"36","Dnajb9"
"37","Zfp953"
"38","Cd70"
"39","Gh"
"40","Miox"
"41","Chchd5"
"42","Nepn"
